Chrom	Pos	Cov	Sample	Lane
1	1591532	2718	1016448965.bam	8_lane
2	21507514	128	1016448965.bam	8_lane
3	67630336	936	1016448965.bam	8_lane
4	112362938	101	1016448965.bam	8_lane
5	107896829	1811	1016448965.bam	8_lane
6	159804	191	1016448965.bam	8_lane
7	62285248	65	1016448965.bam	8_lane
8	89439939	279	1016448965.bam	8_lane
9	13090	4238	1016448965.bam	8_lane
10	70838946	98	1016448965.bam	8_lane
11	40971550	240	1016448965.bam	8_lane
12	77630086	5732	1016448965.bam	8_lane
13	61272731	110	1016448965.bam	8_lane
14	49973530	484	1016448965.bam	8_lane
15	38908659	64	1016448965.bam	8_lane
16	89983	810	1016448965.bam	8_lane
17	16529549	8004	1016448965.bam	8_lane
18	20696155	135	1016448965.bam	8_lane
19	58982211	230	1016448965.bam	8_lane
1	1591532	225	1016448976.bam	1_lane
2	21507514	16	1016448976.bam	1_lane
3	67630336	97	1016448976.bam	1_lane
4	112362988	12	1016448976.bam	1_lane
5	107896830	192	1016448976.bam	1_lane
6	159787	25	1016448976.bam	1_lane
7	32924909	11	1016448976.bam	1_lane
8	89439943	23	1016448976.bam	1_lane
9	13090	376	1016448976.bam	1_lane
10	31243998	10	1016448976.bam	1_lane
11	40971550	20	1016448976.bam	1_lane
12	77630081	586	1016448976.bam	1_lane
13	54106610	12	1016448976.bam	1_lane
14	49973529	53	1016448976.bam	1_lane
15	16306163	10	1016448976.bam	1_lane
16	89983	37	1016448976.bam	1_lane
17	16529567	931	1016448976.bam	1_lane
18	20696169	33	1016448976.bam	1_lane
19	58982219	31	1016448976.bam	1_lane
1	1591532	734	1016448976.bam	2_lane
2	21507514	21	1016448976.bam	2_lane
3	67630336	219	1016448976.bam	2_lane
4	65298687	22	1016448976.bam	2_lane
5	107896830	347	1016448976.bam	2_lane
6	116835365	45	1016448976.bam	2_lane
7	34313436	19	1016448976.bam	2_lane
8	89439942	49	1016448976.bam	2_lane
9	13090	740	1016448976.bam	2_lane
10	82598617	20	1016448976.bam	2_lane
11	40971550	38	1016448976.bam	2_lane
12	77630086	1078	1016448976.bam	2_lane
13	36905966	22	1016448976.bam	2_lane
14	49973533	103	1016448976.bam	2_lane
15	80495954	20	1016448976.bam	2_lane
16	89983	81	1016448976.bam	2_lane
17	16529565	2225	1016448976.bam	2_lane
18	20696155	42	1016448976.bam	2_lane
19	58982198	52	1016448976.bam	2_lane
1	1591532	1179	1016448976.bam	4_lane
2	21507514	59	1016448976.bam	4_lane
3	67630336	414	1016448976.bam	4_lane
4	112362988	45	1016448976.bam	4_lane
5	107896830	735	1016448976.bam	4_lane
6	159787	86	1016448976.bam	4_lane
7	62285248	31	1016448976.bam	4_lane
8	89439941	106	1016448976.bam	4_lane
9	13090	1517	1016448976.bam	4_lane
10	82598617	28	1016448976.bam	4_lane
11	40971550	89	1016448976.bam	4_lane
12	77630081	2211	1016448976.bam	4_lane
13	36905966	45	1016448976.bam	4_lane
14	49973529	204	1016448976.bam	4_lane
15	21699489	33	1016448976.bam	4_lane
16	89983	166	1016448976.bam	4_lane
17	16529565	4248	1016448976.bam	4_lane
18	20696155	96	1016448976.bam	4_lane
19	58982198	105	1016448976.bam	4_lane
1	1591530	2486	1016448976.bam	8_lane
2	21507514	135	1016448976.bam	8_lane
3	67630336	925	1016448976.bam	8_lane
4	112362988	101	1016448976.bam	8_lane
5	107896830	1656	1016448976.bam	8_lane
6	159787	186	1016448976.bam	8_lane
7	34313436	60	1016448976.bam	8_lane
8	89439941	253	1016448976.bam	8_lane
9	13090	3502	1016448976.bam	8_lane
10	86184402	63	1016448976.bam	8_lane
11	40971550	188	1016448976.bam	8_lane
12	77630081	4834	1016448976.bam	8_lane
13	36888631	84	1016448976.bam	8_lane
14	49973529	493	1016448976.bam	8_lane
15	21699489	62	1016448976.bam	8_lane
16	89983	417	1016448976.bam	8_lane
17	16529565	8005	1016448976.bam	8_lane
18	20696155	219	1016448976.bam	8_lane
19	58982198	302	1016448976.bam	8_lane
